Gene stable ID	Gene stable ID version	Transcript stable ID	Transcript stable ID version	Protein stable ID	Protein stable ID version	Gene name	Source of gene name
ENSMUSG00000095153	ENSMUSG00000095153.8	ENSMUST00000249282	ENSMUST00000249282.1	ENSMUSP00000159658	ENSMUSP00000159658.1	Gm21095	MGI Symbol
ENSMUSG00000100946	ENSMUSG00000100946.2	ENSMUST00000187325	ENSMUST00000187325.2			Gm28473	MGI Symbol
ENSMUSG00000101851	ENSMUSG00000101851.2	ENSMUST00000188501	ENSMUST00000188501.2			Gm28474	MGI Symbol
ENSMUSG00000099541	ENSMUSG00000099541.3	ENSMUST00000188744	ENSMUST00000188744.2	ENSMUSP00000140532	ENSMUSP00000140532.2	Gm21488	MGI Symbol
ENSMUSG00000099541	ENSMUSG00000099541.3	ENSMUST00000249283	ENSMUST00000249283.1	ENSMUSP00000159659	ENSMUSP00000159659.1	Gm21488	MGI Symbol
ENSMUSG00000099573	ENSMUSG00000099573.2	ENSMUST00000186218	ENSMUST00000186218.2			Gm28854	MGI Symbol
ENSMUSG00000102104	ENSMUSG00000102104.2	ENSMUST00000190517	ENSMUST00000190517.2			Gm28858	MGI Symbol
ENSMUSG00000100055	ENSMUSG00000100055.3	ENSMUST00000189518	ENSMUST00000189518.2	ENSMUSP00000140218	ENSMUSP00000140218.2	Gm20890	MGI Symbol
ENSMUSG00000100055	ENSMUSG00000100055.3	ENSMUST00000249284	ENSMUST00000249284.1	ENSMUSP00000159660	ENSMUSP00000159660.1	Gm20890	MGI Symbol
ENSMUSG00000101929	ENSMUSG00000101929.7	ENSMUST00000191551	ENSMUST00000191551.7			Gm28245	MGI Symbol
ENSMUSG00000101929	ENSMUSG00000101929.7	ENSMUST00000189093	ENSMUST00000189093.2			Gm28245	MGI Symbol
ENSMUSG00000101929	ENSMUSG00000101929.7	ENSMUST00000189796	ENSMUST00000189796.7			Gm28245	MGI Symbol
ENSMUSG00000100708	ENSMUSG00000100708.3	ENSMUST00000189238	ENSMUST00000189238.2	ENSMUSP00000140477	ENSMUSP00000140477.2	Gm21173	MGI Symbol
ENSMUSG00000100708	ENSMUSG00000100708.3	ENSMUST00000249285	ENSMUST00000249285.1	ENSMUSP00000159661	ENSMUSP00000159661.1	Gm21173	MGI Symbol
ENSMUSG00000101353	ENSMUSG00000101353.7	ENSMUST00000187355	ENSMUST00000187355.7			Gm29203	MGI Symbol
ENSMUSG00000101353	ENSMUSG00000101353.7	ENSMUST00000188836	ENSMUST00000188836.2			Gm29203	MGI Symbol
ENSMUSG00000100726	ENSMUSG00000100726.3	ENSMUST00000189455	ENSMUST00000189455.2	ENSMUSP00000140668	ENSMUSP00000140668.2	Gm21497	MGI Symbol
